No disposition;Nature mutation;Valeur fonciere;No voie;Code type de voie;Type de voie;Code voie;Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;No plan;1er lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;
1;Vente;104000;361;3;RTE;45;DE CHAMPANARD;2020;69220;BELLEVILLE-EN-BEAUJOLAIS;69;019;383;2;1;2;Appartement;71;3;
1;Vente;104000;12;0;RUE;14;DU CLOCHER;2176;74440;MORILLON;74;190;4358;341;2;2;Appartement;32;1;
1;Vente;104000;9;0;RUE;6;ABBE DENIAU;1435;49300;CHOLET;49;099;233;24;1;2;Appartement;60;3;
1;Vente;104000;4;2;ALL;348;DES ONDINS;949;34340;MARSEILLAN;34;150;398;17;1;1;Maison;25;2;
1;Vente;104000;26;0;RUE;110;CHASLES;2500;78120;RAMBOUILLET;78;517;133;18;2;2;Appartement;33;1;
1;Vente;104000;29;0;RUE;1470;HENRI BRISPOT;1698;60000;BEAUVAIS;60;057;306;212;1;2;Appartement;36;2;
1;Vente;104101;10;0;RUE;620;DU GD PRE;372;14510;HOULGATE;14;338;218;55;1;2;Appartement;35;2;
1;Vente;104118;31;18;RES;A475;LE PUY GARNIER;1419;49100;ANGERS;49;007;8;320;2;2;Appartement;39;2;
1;Vente;104120;13;0;RUE;7300;PIERRE LOTI;796;33800;BORDEAUX;33;063;219;73;1;2;Appartement;27;1;
1;Vente;104240;12;0;RUE;70;DES ECOLES;488;25960;DELUZ;25;197;76;10;7;2;Appartement;100;4;
